"","YEAR","ROUND","HSEED","HTEAM","LSEED","LTEAM","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","X3PR","X3PRD","ADJ_T","WAB"
"83",2024,1,1,"Purdue",5,"Wisconsin",-2,7,6.40000000000001,-4.09999999999999,0.0626,3.6,-4.5,1.9,-2.9,6.9,0.199999999999999,9.3,-10.2,0.600000000000001,-2.3,6,-5.7,-0.399999999999999,2.8,2.59999999999999,7.7
"84",2024,1,1,"Purdue",5,"Gonzaga",2,4,4.90000000000001,-3.89999999999999,0.0493,-0.700000000000003,0.400000000000006,2.5,-2.5,4.1,-2.5,11.3,-2.8,-5.09999999999999,3,5.3,-2.6,3.6,0.300000000000004,-1.5,8.5
"85",2024,1,1,"Purdue",5,"Saint Mary's",1,3,10.4,1,0.0446000000000001,2.9,2.6,0.5,-2.7,-1.6,2.3,14.5,-9.2,0.200000000000003,4.5,5.3,-1,-1.7,8.2,5.49999999999999,9.6
"86",2024,1,1,"Purdue",6,"BYU",0,6,5.60000000000001,-4.3,0.0577000000000001,0.899999999999999,-0.299999999999997,1.3,-2,4.6,0,17.5,-9.1,-4.8,-0.100000000000001,6,-0.400000000000002,-15.7,3.1,-1.40000000000001,8.1
"87",2024,1,1,"Purdue",6,"Texas Tech",0,6,8.7,-3.7,0.0798,3.2,-1.4,0,-3,7.2,-5.6,8.2,-3.6,1.7,-1.5,4.3,-0.700000000000003,-6.1,-1.8,1.19999999999999,7.6
"88",2024,1,1,"Purdue",6,"South Carolina",0,3,11.8,-4.2,0.1224,5.2,-0.299999999999997,1,-0.9,4.3,-3.3,11,-7.8,2.1,1.3,7.3,-2.2,-6,6,4.59999999999999,6.3
"89",2024,1,1,"Purdue",6,"Clemson",1,8,9.5,-4.59999999999999,0.0997,2.1,-1,1.6,0.4,9.7,-0.5,12.2,-8.2,-1.2,1,5.4,-2.6,-5.2,-3.4,1.39999999999999,10.1
"90",2024,1,1,"Purdue",7,"Washington State",0,5,13.4,-1.89999999999999,0.1088,3.9,0.400000000000006,0.399999999999999,-1.9,4.5,-0.199999999999999,11.1,-9.7,0.600000000000001,1.2,6.8,-0.600000000000001,3,5.7,2.69999999999999,9.1
"91",2024,1,1,"Purdue",7,"Florida",-2,5,6.5,-4.59999999999999,0.0693,4.5,-1.09999999999999,0.699999999999999,-0.5,-0.100000000000001,-4.2,4.2,-11.2,1.5,-0.899999999999999,6.59999999999999,-0.800000000000004,0.5,4.5,-4,8
"92",2024,1,1,"Purdue",7,"Texas",1,9,7.2,-3.59999999999999,0.0638000000000001,2.3,-1.3,-0.100000000000001,-4.6,6.9,-5.3,12.4,-12,-0.199999999999996,0.700000000000003,4.7,-3.4,0.100000000000001,4.8,0.399999999999991,9.8
"93",2024,1,1,"Purdue",7,"Dayton",2,5,8.8,-6,0.1097,-0.600000000000001,-0.199999999999996,0.699999999999999,-1.7,10.5,-4.3,5.59999999999999,1.2,-0.5,-0.100000000000001,0.599999999999994,-0.300000000000001,-9.5,-3.2,3.59999999999999,8.4
"94",2024,1,1,"Purdue",8,"Florida Atlantic",0,4,8.90000000000001,-8.3,0.1474,1,-2,0.699999999999999,-2.5,3.6,-4.5,8,-4.5,-2.8,-1.2,5.2,-2.2,-3.8,0.900000000000006,-0.300000000000011,9.8
"95",2024,1,1,"Purdue",8,"Nebraska",0,6,10.5,-0.899999999999991,0.0645,2.8,1.40000000000001,0.6,-2.4,9.6,-5.3,10.4,-4.7,0.400000000000006,2.9,5,-0.5,-9.5,-4.5,-1.10000000000001,8.6
"96",2024,1,1,"Purdue",8,"Utah State",2,2,12.1,-5.7,0.15,1.9,-1.9,0.800000000000001,-2.4,8.9,-0.699999999999999,2.8,-7.4,-3.9,-5,8.7,2.4,1.6,0.5,-0.900000000000006,7.7
"97",2024,1,1,"Purdue",8,"Mississippi State",-1,8,13.6,-0.200000000000003,0.0872,4.3,0,-2.2,-4.2,2,-2.9,4.9,-9.4,-0.199999999999996,-2.1,8.3,2,-3.2,-3.9,0.399999999999991,10.2
"98",2024,1,1,"Purdue",9,"Northwestern",1,8,9,-4.5,0.0927,2.8,-3.9,3.2,-4.8,11.7,-3.5,12.9,-16.4,3.5,-2.2,1.4,-4.5,-1.8,0.300000000000004,3.89999999999999,9.5
"99",2024,1,1,"Purdue",9,"Texas A&M",-1,9,11.2,-4.2,0.1145,10.6,-2.4,2.3,-2.9,-4.5,-3.3,4.59999999999999,-8.2,6.2,-1.4,12.4,-2.5,-3.1,-7.7,2,10.75
"100",2024,1,1,"Purdue",9,"TCU",0,8,11.7,-2.39999999999999,0.0954,4.1,-2.59999999999999,-1.4,-6.8,1.9,-3.9,7.7,-12.7,2,-2.8,5.2,-1.4,4.8,2,-2.30000000000001,9.7
"101",2024,1,1,"Purdue",9,"Michigan State",0,10,13.5,1.40000000000001,0.0661,4.5,-0.299999999999997,1.8,-4.7,7.5,-4,12.9,-9.6,2.7,1,4.9,-1.4,4.8,-4.09999999999999,2.3,10.79
"102",2024,1,1,"Purdue",10,"Drake",0,1,11.4,-5.5,0.1361,1.1,-3.3,2.6,-3.4,13.2,2.6,10.2,-8,-1.9,-3.8,4.3,-1.6,-4.6,-2.09999999999999,-0.200000000000003,9.3
"103",2024,1,1,"Purdue",10,"Boise State",3,7,12.2,-3.09999999999999,0.1106,4.4,-2.09999999999999,0,-2.8,4.9,1.6,6.7,-10.1,2,-4,6,0.799999999999997,-4.8,0.300000000000004,1,10.1
"104",2024,1,1,"Purdue",10,"Colorado",-1,5,9,-3.3,0.0778,0.700000000000003,-1.59999999999999,-1.6,-1.2,5,0.699999999999999,7.5,-5.1,-0.399999999999999,-2,1.4,-0.5,4.6,1.90000000000001,-0.100000000000009,9.3
