"","YEAR","ROUND","HSEED","HTEAM","LSEED","LTEAM","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB"
"56",2023,1,1,"Houston",14,"Grand Canyon",-1,7,6.2,-17,0.3278,-0.199999999999996,-4.7,-3.1,7,6.6,-2.9,-9.3,2.59999999999999,2.7,-3.7,-3.1,-4.2,-1.7,11.9
"57",2023,1,1,"Houston",14,"UC Santa Barbara",0,4,7.2,-16.2,0.3329,-1.5,-7.3,-1.5,3.3,10.5,1.3,-6.4,6.6,-1.59999999999999,-5.8,-0.600000000000001,-6.7,-1.40000000000001,9.5
"58",2023,1,1,"Houston",15,"Vermont",1,8,7.8,-12.9,0.2648,-2.2,-8.2,1.1,5.2,17.8,4.9,0.100000000000001,8.9,-2.3,-6.9,-1.7,-6.8,-1.40000000000001,12.1
"59",2023,1,1,"Houston",15,"Colgate",0,5,5.7,-16.3,0.2979,-5.9,-9.4,0.4,4.4,12.2,3.3,0.899999999999999,15.5,-3.9,-8.4,-6.4,-7.1,-4.5,11.9
"60",2023,1,1,"Houston",15,"Princeton",5,10,9.40000000000001,-13.1,0.3058,0.200000000000003,-5.5,-1.6,7.5,8.7,4.6,-3.7,6.5,-0.299999999999997,-4.1,0.5,-5.3,-4.2,11.5
"61",2023,1,1,"Houston",15,"UNC Asheville",0,4,15.6,-13.2,0.4708,-1.2,-5.5,-4.7,4.1,11.3,-1.3,-12.8,9,1.8,-6,-4.3,-2.7,-5.10000000000001,10.1
"62",2023,1,1,"Houston",16,"Northern Kentucky",0,9,15.1,-12.4,0.4367,2.90000000000001,-8.8,-2.2,-1.2,5.8,-5.4,1.1,5,5.5,-5.8,-0.700000000000003,-8.9,1.4,14.9
"63",2023,1,1,"Houston",16,"Texas A&M Corpus Chris",1,8,12.1,-17.5,0.4958,1.5,-9.9,-2.7,1.1,4.6,-0.5,-5.9,-2.8,4.2,-11,-2.4,-5.5,-5.90000000000001,14.3
"64",2023,1,1,"Houston",16,"Howard",0,9,15,-16.7,0.5502,0.700000000000003,-8.1,-7.5,1.3,3.3,-4.2,-4.3,1.2,3.3,-7.7,-2.7,-5.8,-5.7,15.6
"65",2023,1,1,"Houston",16,"Southeast Missouri State",-1,12,17.9,-18.4,0.6659,2.7,-9.1,-2,3,11.8,-0.5,-9.8,-7.8,3.2,-7.7,1.2,-7.5,-8.90000000000001,19.8
