"","YEAR","ROUND","WSEED","WTEAM","WSCORE","LSEED","LTEAM","LSCORE","SCORE_DIFF","confW","confL","G","W","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB"
"51",2014,1,8,"Memphis",71,9,"George Washington",66,5,"Amer","A10",0,-1,2.39999999999999,0.200000000000003,0.0327999999999999,0.399999999999999,1.2,-0.399999999999999,0.699999999999999,0.699999999999996,1.9,-7.1,0.399999999999999,2.5,1.8,-3.4,-0.199999999999999,2.3,-0.4
"52",2014,1,8,"Kentucky",56,9,"Kansas State",49,7,"SEC","B12",7,9,9.3,3.3,0.0589,1.1,0.700000000000003,-0.399999999999999,-2.9,7.3,-3.5,11.5,-8.6,1.7,-1,0.100000000000001,2.9,1.10000000000001,3.4
"53",2014,1,6,"North Carolina",79,11,"Providence",77,2,"ACC","BE",-1,2,-1.5,-5.7,0.0634,1.6,-1.9,-0.400000000000002,2.9,2.8,0.5,1,7.7,3.2,-2.09999999999999,-1.1,-1.1,5.89999999999999,3
"54",2014,1,4,"Michigan State",93,13,"Delaware",78,15,"B10","CAA",3,4,8.89999999999999,-10.7,0.3082,4.1,-3.6,4,0.899999999999999,3.8,-5.3,-10.2,2.3,2.6,-6.1,4.5,0.5,-6.09999999999999,8.3
"55",2014,1,4,"UCLA",76,13,"Tulsa",59,17,"P12","CUSA",3,7,13.4,0.799999999999997,0.163,4.9,3.5,-2.2,0,-0.399999999999999,-1,-8.9,-11.8,3.8,5.4,5.3,-0.800000000000004,1.8,8.1
"56",2014,1,1,"Florida",67,16,"Albany",55,12,"SEC","AE",5,17,13.1,-14.7,0.4675,3.40000000000001,-2.9,-2.2,3,3.4,-0.399999999999999,0.399999999999999,2.1,4.3,-2.5,-0.100000000000001,-1.9,-0.100000000000001,20.3
"57",2014,1,1,"Virginia",70,16,"Coastal Carolina",59,11,"ACC","BSth",6,12,16.3,-12.5,0.5503,2.8,-3.3,-3.7,0.0999999999999979,-0.300000000000004,-3.5,3.4,-7.1,1.4,-4.6,4.3,-0.100000000000001,-6.3,15.9
"58",2014,1,1,"Wichita State",64,16,"Cal Poly",37,27,"MVC","BW",3,22,14.4,-11.4,0.4939,6.4,-4.59999999999999,1.5,0.0999999999999979,4.1,-7,13.7,-7.2,8.09999999999999,-5,2,-2.7,4.7,18.8
"59",2014,1,4,"San Diego State",73,13,"New Mexico State",69,4,"MWC","WAC",-1,4,-2.19999999999999,-11.3,0.1575,-6.5,0,-3.5,4.5,-1.6,-3.6,-8.8,-1.7,-7.8,0.799999999999997,-1.9,-2.4,-3.09999999999999,8.3
"60",2014,1,11,"Dayton",60,6,"Ohio State",59,-1,"A10","B10",-2,-1,-4.59999999999999,-10.6,0.0919,-2.1,-3.59999999999999,-0.900000000000002,3.1,-4.3,0.800000000000001,1.7,-13.2,0.700000000000003,-2.4,-5.3,-3.9,0,3.9
