,Unnamed: 0,YEAR,ROUND,LSEED,LTEAM,LSCORE,SCORE_DIFF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,X2P_O,X2P_D,X3P_O,X3P_D,ADJ_T,WAB,HSEED,HTEAM,HSCORE
51,52,2014,1,9,Kansas State,49,7,7,9,9.3,3.3,0.0589,1.1,0.700000000000003,-0.399999999999999,-2.9,7.3,-3.5,11.5,-8.6,1.7,-1.0,0.100000000000001,2.9,1.10000000000001,3.4,8,Kentucky,49
52,53,2014,1,11,Providence,77,2,-1,2,-1.5,-5.7,0.0634,1.6,-1.9,-0.400000000000002,2.9,2.8,0.5,1.0,7.7,3.2,-2.09999999999999,-1.1,-1.1,5.89999999999999,3.0,6,North Carolina,77
53,54,2014,1,13,Delaware,78,15,3,4,8.89999999999999,-10.7,0.3082,4.1,-3.6,4.0,0.899999999999999,3.8,-5.3,-10.2,2.3,2.6,-6.1,4.5,0.5,-6.09999999999999,8.3,4,Michigan State,78
54,55,2014,1,13,Tulsa,59,17,3,7,13.4,0.799999999999997,0.163,4.9,3.5,-2.2,0.0,-0.399999999999999,-1.0,-8.9,-11.8,3.8,5.4,5.3,-0.800000000000004,1.8,8.1,4,UCLA,59
55,56,2014,1,16,Albany,55,12,5,17,13.1,-14.7,0.4675,3.40000000000001,-2.9,-2.2,3.0,3.4,-0.399999999999999,0.399999999999999,2.1,4.3,-2.5,-0.100000000000001,-1.9,-0.100000000000001,20.3,1,Florida,55
56,57,2014,1,16,Coastal Carolina,59,11,6,12,16.3,-12.5,0.5503,2.8,-3.3,-3.7,0.0999999999999979,-0.300000000000004,-3.5,3.4,-7.1,1.4,-4.6,4.3,-0.100000000000001,-6.3,15.9,1,Virginia,59
57,58,2014,1,16,Cal Poly,37,27,3,22,14.4,-11.4,0.4939,6.4,-4.59999999999999,1.5,0.0999999999999979,4.1,-7.0,13.7,-7.2,8.09999999999999,-5.0,2.0,-2.7,4.7,18.8,1,Wichita State,37
58,59,2014,1,13,New Mexico State,69,4,-1,4,-2.19999999999999,-11.3,0.1575,-6.5,0.0,-3.5,4.5,-1.6,-3.6,-8.8,-1.7,-7.8,0.799999999999997,-1.9,-2.4,-3.09999999999999,8.3,4,San Diego State,69
59,60,2014,1,11,Dayton,60,-1,2,1,4.59999999999999,10.6,-0.0919,2.1,3.59999999999999,0.900000000000002,-3.1,4.3,-0.800000000000001,-1.7,13.2,-0.700000000000003,2.4,5.3,3.9,-0.0,-3.9,6,Ohio State,60
60,61,2014,1,12,Stephen F. Austin,77,-2,-2,4,3.7,11.8,-0.1428,4.4,2.7,-0.300000000000001,-2.0,3.3,-1.9,4.7,11.0,6.7,1.2,-0.0,4.4,-7.3,-1.9,5,VCU,77
61,62,2014,1,9,Oklahoma State,77,8,1,7,-2.0,-1.5,-0.0002999999999999,2.8,-1.7,2.7,-2.6,2.6,-2.5,-8.5,-2.4,2.3,-1.7,2.6,-0.900000000000002,-2.7,2.6,8,Gonzaga,77
62,63,2014,1,14,Mercer,78,-7,-2,-2,-16.3,3.2,-0.2439,0.200000000000003,-2.5,2.9,0.5,-3.2,-0.199999999999999,-1.5,0.200000000000003,1.3,-3.4,-0.700000000000003,0.300000000000001,-1.5,-9.3,3,Duke,78
63,64,2014,1,15,Eastern Kentucky,69,11,3,3,7.10000000000001,-11.9,0.3093,-2.5,-8.6,3.3,-7.8,14.3,-5.2,5.09999999999999,-9.4,-0.200000000000003,-12.4,-4.6,-0.299999999999997,2.2,10.2,2,Kansas,69
64,65,2014,1,14,Louisiana Lafayette,66,10,3,7,14.7,-2.59999999999999,0.2587,7.4,-1.9,-3.8,-3.7,-8.8,-4.0,-10.4,-11.0,6.7,-3.6,4.3,1.0,-4.59999999999999,9.4,3,Creighton,66
65,66,2014,1,16,Weber State,59,9,9,16,10.2,-19.2,0.4805,-2.4,-5.5,-3.3,5.3,8.0,-1.4,-8.7,-0.899999999999999,-0.399999999999999,-6.8,-3.0,-1.7,0.0,16.3,1,Arizona,59
66,67,2014,1,15,Milwaukee,53,20,0,9,10.9,-11.4,0.4137,4.5,-2.8,-2.6,1.5,4.0,-2.5,-0.200000000000003,2.1,4.7,-7.4,2.9,4.3,-0.200000000000003,14.4,2,Villanova,53
67,68,2014,1,12,North Dakota State,80,-5,-3,0,-4.3,3.59999999999999,-0.118,2.8,0.0999999999999943,-0.0999999999999996,-0.699999999999999,-1.8,-2.5,2.2,1.7,6.7,-2.7,-3.2,3.59999999999999,-7.59999999999999,-3.9,5,Oklahoma,80
68,69,2014,1,11,Nebraska,60,14,4,5,11.0,4.5,0.0712999999999999,3.0,1.1,1.1,-3.2,14.4,3.0,2.5,-12.6,0.899999999999999,-1.4,4.7,4.1,-3.50000000000001,1.8,6,Baylor,60
69,70,2014,1,14,Western Michigan,53,24,2,6,9.5,-9.7,0.3551,-3.8,0.399999999999999,-6.1,3.4,7.1,-0.5,-13.2,2.0,-6.0,-2.3,0.5,3.0,-5.5,10.8,3,Syracuse,53
70,71,2014,1,14,North Carolina Central,75,18,4,2,10.7,-1.40000000000001,0.1885,4.0,3.3,-2.7,-7.8,-6.6,-4.6,-13.1,-14.1,3.6,2.8,3.3,3.1,7.5,8.1,3,Iowa State,75
71,72,2014,1,13,Manhattan,64,7,4,6,12.6,-8.80000000000001,0.2191,2.8,-1.5,-4.4,3.3,2.7,-0.599999999999994,-14.3,-14.4,4.0,0.299999999999997,-0.100000000000001,-4.1,-0.799999999999997,5.8,4,Louisville,64
72,73,2014,1,9,Pittsburgh,77,-29,1,3,10.2,-2.0,0.1521,2.40000000000001,-2.7,-3.4,1.4,3.2,2.9,-4.0,6.2,1.5,-1.8,3.3,-3.0,-3.10000000000001,1.7,8,Colorado,77
73,74,2014,1,10,Arizona State,85,2,2,3,2.10000000000001,0.299999999999997,0.0255,-5.0,0.200000000000003,1.2,-0.699999999999999,15.1,0.0,0.899999999999999,3.7,-1.9,-2.4,-6.3,2.6,-0.599999999999994,2.4,7,Texas,85
74,75,2014,1,12,Harvard,61,-4,-3,-1,3.2,3.7,-0.0142,4.4,1.40000000000001,0.200000000000003,-1.3,-6.8,-3.0,9.7,0.299999999999997,3.1,1.7,5.1,0.700000000000003,2.0,-3.1,5,Cincinnati,61
75,76,2014,1,12,North Carolina State,80,3,-3,4,-9.89999999999999,-11.0,0.0411,-0.399999999999999,-3.1,2.8,3.6,-5.3,-6.6,3.3,-7.0,-1.0,-2.9,1.2,-2.5,1.0,3.2,5,Saint Louis,80
76,77,2014,1,10,BYU,68,19,0,2,4.3,-0.5,0.0642,2.9,0.0,0.800000000000001,2.3,-2.7,3.3,-3.8,11.0,1.8,1.2,2.0,-1.3,-3.7,2.0,7,Oregon,68
77,78,2014,1,11,Tennessee,86,-19,3,-1,9.09999999999999,-3.5,0.1422,-0.600000000000001,-0.100000000000001,-2.0,-1.8,5.40000000000001,-4.2,2.59999999999999,-5.7,0.700000000000003,-2.3,-2.7,3.7,-8.7,-3.2,6,Massachusetts,86
78,79,2014,1,10,Saint Joseph's,81,8,6,8,-1.3,-6.2,0.0625,-2.4,-3.2,-1.4,4.3,0.899999999999999,5.0,-5.3,5.1,-4.2,-3.8,0.800000000000004,-1.2,-1.10000000000001,2.6,7,Connecticut,81
79,80,2014,1,10,Stanford,58,-5,2,-4,-1.09999999999999,0.799999999999997,-0.0256999999999999,0.199999999999996,3.0,1.1,2.1,-3.2,-0.0999999999999979,-1.7,5.7,-1.8,4.7,3.2,0.100000000000001,1.0,-3.3,7,New Mexico,58
